Canonical SMILES,DILI_label
CCCCC[C@](C)(O)\C=C\[C@H]1[C@@H](O)C[C@H](O)[C@@H]1C\C=C/CCCC(=O)[O-].[NH3+]C(CO)(CO)CO,0
CN[C@@H](C)[C@H](O)c1ccccc1,0
CN1C(=O)NC(=O)c2c1ncn2C,1
C1CN=C(NC(C2CC2)C3CC3)O1,1
NC1=NC(=O)N(C=C1)[C@@H]2CS[C@H](CO)O2,1
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,1
CN(C)N\N=C\1/N=CN=C1C(=O)N,1
Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(F)cccc4Cl,1
OC(=O)[C@H](S)[C@H](S)C(=O)O,1
Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(=O)O,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,1
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,0
Nc1ccc(cc1)C(=O)NCC(=O)O,0
CN1C(=O)N(C)c2ncn(C)c2C1=O,0
FC(F)(F)C(Cl)Br,1
C[C@]12CC[C@H]3[C@@H](CCc4cc(OC(=O)N(CCCl)CCCl)ccc34)[C@@H]1CC[C@@H]2O,1
Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,1
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,1
O[N+](=O)[O-].Clc1ccc(CSC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,0
CN[C@@H](C)[C@@H](O)c1ccccc1,0
O=C(Nc1cccc2C(=O)C=C(Oc12)c3nn[nH]n3)c4ccc(OCCCCc5ccccc5)cc4,1
CNC[C@H](O)c1cccc(O)c1,1
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,0
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(=CC[C@H]2N)CN)[C@H](O)[C@H]1O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O,1
Fc1ccc(cc1)C(CCCN2CCC3(CC2)N(CNC3=O)c4ccccc4)c5ccc(F)cc5,1
CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O,0
NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)N2C=O)N1,0
CCOc1ccc(NC(=O)C)cc1,1
NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,1
CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O,1
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=C3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O,0
CC(=O)Oc1ccccc1C(=O)O,1
Cc1ccc(cc1)C(=O)Oc2ccc(cc2OC(=O)c3ccc(C)cc3)C(O)CNC(C)(C)C,0
CCCC1=CC(=O)NC(=S)N1,1
[Cl-].CC(=O)OCC[N+](C)(C)C,0
CC(N(O)C(=O)N)c1cc2ccccc2s1,1
NC(=NC(=O)c1nc(Cl)c(N)nc1N)N,1
CN(C)C(=O)Cc1c(nc2ccc(C)cn12)c3ccc(C)cc3,0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1
CN1CCN2C(C1)c3ccccc3Cc4cccnc24,1
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,0
CC(C)NCC(O)COc1ccc(CC(=O)N)cc1,1
OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,1
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,1
OCC(CO)N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,1
COCCc1ccc(OCC(O)CNC(C)C)cc1,1
CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,1
CN1[C@@H]2CC(C[C@H]1[C@@H]3O[C@H]23)OC(=O)[C@H](CO)c4ccccc4,0
CC(C(=O)O)c1ccc2oc(nc2c1)c3ccc(Cl)cc3,1
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2,0
C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c2ccc(O)cc2,0
CN1C(=O)CC(=O)N(c2ccccc2)c3cc(Cl)ccc13,1
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,1
C\C(=C\C(=O)O)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,1
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,1
CNCCC=C1c2ccccc2CCc3ccccc13,1
CC(=O)OCC(CCn1cnc2cnc(N)nc12)COC(=O)C,0
Nc1nnc(c(N)n1)c2cccc(Cl)c2Cl,1
OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,0
Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,1
CN(C)CC[C@@H](c1ccc(Br)cc1)c2ccccn2,0
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,0
CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,1
CC(C)NCC(O)COc1cccc2ccccc12,0
Oc1ccc(cc1)C2(C(=O)Nc3ccccc23)c4ccc(O)cc4,1
COc1cc(NC(C)CCCN)c2ncccc2c1,0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1
CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)[N+](=O)[O-],1
ClCCN(CCCl)P1(=O)NCCCO1,1
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)C2(F)F,1
OC(CCN1CCCCC1)(C2CC3CC2C=C3)c4ccccc4,0
CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2,1
COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,1
CN=C1CN(O)C(=C2C=C(Cl)C=CC2=N1)c3ccccc3,1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,1
CN1C2CCC1CC(C2)OC(=O)C(O)c3ccccc3,0
Cn1cnc(c1Sc2ncnc3nc[nH]c23)[N+](=O)[O-],1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,1
COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,1
Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3ccccn3,0
OC1N=C(c2ccccc2)c3cc(Cl)ccc3NC1=O,0
Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3,0
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC=C(C)C,0
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4O)c35,0
CC(C)c1cc(OC(=O)C)c(C)cc1OCCN(C)C,1
Nc1nc(F)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,0
OC1(N2CCN=C2c3ccccc13)c4ccc(Cl)cc4,1
OC(=O)COc1nn(Cc2ccccc2)c3ccccc13,1
NCCNCCNCCNCCN.ClCC1CO1,0
CN(C)CC\C=C/1\c2ccccc2COc3ccccc13,1
CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,1
COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,0
CN1C(=O)CN=C(C2=CCCCC2)c3cc(Cl)ccc13,1
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)c3ccccc3,0
Cl.CN(C)CCN(Cc1cccs1)c2ccccn2,1
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
CN(C)CCOC(C)(c1ccccc1)c2ccccn2,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C,1
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,0
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,0
CC(C)NCC(O)c1ccc(NS(=O)(=O)C)cc1,0
COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccccc3,1
CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,1
Cc1nccn1CC2CCc3c(C2=O)c4ccccc4n3C,1
CN1C(c2ccc(Cl)cc2)S(=O)(=O)CCC1=O,1
CC(C)(C)NC[C@H](O)COc1ccccc1C2CCCC2,0
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@H]2O,1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1
CC(C)(Oc1ccc(cc1)C2CC2(Cl)Cl)C(=O)O,1
C(C1CN2CCC1CC2)N3c4ccccc4Sc5ccccc35,1
COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,1
COc1ccc2nccc([C@H](O)[C@H]3C[C@@H]4CCN3C[C@@H]4C=C)c2c1,1
CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3,1
OC(=O)C(CC1=CC(=O)Nc2ccccc12)NC(=O)c3ccc(Cl)cc3,1
CSc1ccc2Sc3ccccc3N(CCC4CCCCN4C)c2c1,1
CCN1CCCC1CNC(=O)c2cc(c(N)cc2OC)S(=O)(=O)CC,1
Cc1c(OCC(F)(F)F)ccnc1CS(=O)c2nc3ccccc3[nH]2,1
CC(=O)Oc1cccc2C(=O)c3cc(cc(OC(=O)C)c3C(=O)c12)C(=O)O,1
OC1=C(C2CCC(CC2)c3ccc(Cl)cc3)C(=O)C(=O)c4ccccc14,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,1
NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]3CCC(=O)N3,0
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,0
CC1COc2c(N3CCN(C)CC3)c(F)cc4C(=O)C(=CN1c24)C(=O)O,1
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c2ccc(Cl)cc2,1
NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0
COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1,1
CCOC(=O)c1cncn1[C@H](C)c2ccccc2,0
CCCCCCC(C)(C)c1cc(O)c2[C@@H]3CC(=O)CC[C@H]3C(C)(C)Oc2c1,0
OP(=O)(O)C(Cl)(Cl)P(=O)(O)O,1
OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,1
C[C@@H](Cc1ccccc1)N(C)Cc2ccccc2,0
OP(=O)(O)OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F,1
CCCCCCCN(CC)CCCC(O)c1ccc(NS(=O)(=O)C)cc1,0
COC(=O)C(C1CCCCN1)c2ccccc2,1
ClCCN(N=O)C(=O)NC1CCCCC1,1
C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(=C(N2C1=O)C(=O)O)S[C@@H]3CN[C@@H](C3)C(=O)N(C)C,1
Nc1nc2ccc(OC(F)(F)F)cc2s1,1
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(=O)O)\c3csc(N)n3,0
CCN(CC)CCNC(=O)c1ccc(N)cc1,1
[O-][N+](=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)O[N+](=O)[O-],0
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl,1
COc1cccc(OC)c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O,1
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(=O)C,1
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1
CN1N=C(SC1=NC(=O)C)S(=O)(=O)N,1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O,1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,1
CCN(CC)CCNc1ccc(CO)c2Sc3ccccc3C(=O)c12,1
CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c3ccc(cc3)S(=O)C,1
BrCCC(=O)N1CCN(CC1)C(=O)CCBr,1
CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,1
OC(=O)c1cc(nc2ccccc12)c3ccccc3,1
C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4CC(=O)\C(=C/O)\C[C@]4(C)[C@H]3CC[C@]12C,1
NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl,0
Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2,1
ClCCN(CCCl)C1=CNC(=O)NC1=O,1
COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,1
CN1CCN(CC1)C2=Nc3ccccc3Oc4ccc(Cl)cc24,0
Oc1ccc2C[C@@H]3N(CC4CCC4)CC[C@]5(CCCC[C@@]35O)c2c1,0
Oc1ccc2C[C@H]3N(CC=C)CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O,0
COc1ccc(\C=C\C(=O)Nc2ccccc2C(=O)O)cc1OC,1
CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,1
Nc1ccc(cc1)S(=O)(=O)Nc2nccs2,1
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,0
C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0
CN1C(=O)C(O)N=C(c2ccccc2Cl)c3cc(Cl)ccc13,1
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3cc(C)on3,0
CCC(=O)N(C1CCN(CCc2ccccc2)CC1)c3ccccc3,0
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,1
Oc1c(Cl)cc(Cl)cc1Sc2cc(Cl)cc(Cl)c2O,1
CCOC(=O)C1(CCN(CCc2ccc(N)cc2)CC1)c3ccccc3,0
CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)O,0
CC(N=C(NC#N)Nc1ccncc1)C(C)(C)C,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1
CS(=O)(=O)OCCCCOS(=O)(=O)C,1
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,1
CCOC(=O)C1(CCN(C)CC1)c2ccccc2,0
CCCNCC(O)COc1ccccc1C(=O)CCc2ccccc2,1
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,0
C[N+]1(C)CCCC(C1)OC(=O)C(O)(c2ccccc2)c3ccccc3,0
CCC(=O)O[C@@](Cc1ccccc1)([C@H](C)CN(C)C)c2ccccc2,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,1
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,1
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,0
CCCCCCCC\C=C/CCCCCCCC(=O)O.NCCO,0
CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,1
NC(=O)NO,1
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,0
CC(=O)Oc1ccc(cc1)C(c2ccc(OC(=O)C)cc2)c3ccccn3,0
CCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC)C,1
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3,1
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2,0
COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O,1
CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,1
OC[C@H]1O[C@H](C[C@@H]1O)N2C=C(I)C(=O)NC2=O,1
CCC(CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3cn(C)c4cccc(C2=C1)c34,0
CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c3ccc(cc3)[N+](=O)[O-],1
OP(=O)(O)OCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,1
COC1=CC(=O)C[C@@H](C)[C@]12Oc3c(Cl)c(OC)cc(OC)c3C2=O,1
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C3=CCC=CC3)C2=O)C(=O)O,0
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(=O)O,1
NC(=Nc1ccc(cc1)C(=O)Oc2ccc3cc(ccc3c2)C(=N)N)N,1
COc1ccc2nc([nH]c2c1)S(=O)Cc3ncc(C)c(OC)c3C,1
Clc1ccccc1C(c2ccccc2)(c3ccccc3)n4ccnc4,1
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3,0
CCc1cc2C(=NCc3nnc(C)n3c2s1)c4ccccc4Cl,1
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,0
NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,1
N[C@@H](C(=O)N[C@H]1[C@H]2CCC(=C(N2C1=O)C(=O)O)Cl)c3ccccc3,1
CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,1
O.O=C1O[Bi]Oc2ccccc12,0
CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,0
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,0
